guess_brand,BRAND_CONFIRM,Title,Type,Status,Handle
Cheetos,,Cheetos Flamin’ Hot Crunchy Cheese Flavour Snacks,Chips & Crisps,draft,cheetos-flamin-hot-crunchy-cheese-flavour-snacks
Cheetos,,Cheetos Flamin’ Hot Crunchy Export 226.8g,Chips & Crisps,active,cheetos-flamin-hot-crunchy-export-226-8g
Cheetos,,Cheetos Flamin’ Hot Crunchy Export 35.4g,Chips & Crisps,active,cheetos-flamin-hot-crunchy-export-35-4g
Cheetos,,Cheetos Flamin’ Hot Crunchy Lime 50g,Chips & Crisps,active,cheetos-flamin-hot-crunchy-lime-50g
Chilli,,Chilli Out Fire Fingers Spicy Chicken 60 g,Chips & Crisps,active,chilli-out-fire-fingers-spicy-chicken-60-g
Chilli,,Chilli Out Fire Fingers Spicy Honey 60g,Chips & Crisps,active,chilli-out-fire-fingers-spicy-honey-60g
Chilli,,Chilli Out Fire Fingers Spicy Lemon 60g,Chips & Crisps,active,chilli-out-fire-fingers-spicy-lemon-60g
Chilli,,Chilli Out Fire Fingers Spicy Masala 60g,Chips & Crisps,active,chilli-out-fire-fingers-spicy-masala-60g
Chilli,,Chilli Out Fire Fingers Spicy Shrimp 60 g,Chips & Crisps,active,chilli-out-fire-fingers-spicy-shrimp-60-g
Chips,,Chips Oman Chili Flavour 100 g,Chips & Crisps,active,chips-oman-chili-flavour-100-g
Chips,,Chips Oman Chili Flavour 15 g,Chips & Crisps,active,chips-oman-chili-flavour-15-g
Chips,,Chips Oman Chilli Flavour Potato Chips – 137 g,Chips & Crisps,active,chips-oman-chilli-flavour-potato-chips-137-g
Chips,,Chips Oman Potato Chips Chilli Flavour – 40 g,Chips & Crisps,active,chips-oman-potato-chips-chilli-flavour-40-g
Chocolate,,Chocolate Cream Oreo – 36.8 g,Chocolates,active,chocolate-cream-oreo-36-8-g
Chocolate,,Chocolate Sandwich Semi Ice Milk,Ice Cream,active,chocolate-sandwich-semi-ice-milk
Chocolate,,Chocolate Semi Ice Milk Covered with Chocolate Coating,Ice Cream,active,chocolate-semi-ice-milk-covered-with-chocolate-coating
Chocolate,,Chocolate Semi Ice Milk with Cone Biscuits,Ice Cream,active,chocolate-semi-ice-milk-with-cone-biscuits
Choki,,Choki Choki Choco Cashew 27g,Candy,active,choki-choki-choco-cashew-27g
Chupa Chups,,Chupa Chups Bites Fruit Flavour 24.2g,Candy,active,chupa-chups-bites-fruit-flavour-24-2g
Chupa Chups,,Chupa Chups Bites Sour Fruit Flavour Gummy Candy 85g,Candy,active,chupa-chups-bites-sour-fruit-flavour-gummy-candy-85g
Chupa Chups,,Chupa Chups Cola Gummy Candy 45g,Candy,active,chupa-chups-cola-gummy-candy-45g
Chupa Chups,,Chupa Chups Cola Soft & Chewy Cola Flavour Gummy Candy 106 g,Candy,active,chupa-chups-cola-soft-chewy-cola-flavour-gummy-candy-106-g
Chupa Chups,,Chupa Chups Cola Soft & Chewy Cola Flavour Gummy Candy 90 g,Candy,active,chupa-chups-cola-soft-chewy-cola-flavour-gummy-candy-90-g
